Type,App Name,기능명,API URL,HTTP Method,URL 설명,BE 담당,BE 개발 상태,FE 담당,FE 개발 상태
HTTP,Auth,회원가입,/api/auth/register/,POST,"사용자가 아이디, 비밀번호, 닉네임을 입력하여 회원가입",수빈 임,시작 전,,시작 전
HTTP,Auth,새 비밀번호 설정,/api/auth/password/reset-confirm/,POST,,수빈 임,시작 전,,시작 전
HTTP,Auth,비밀번호 찾기 이메일 발송,/api/auth/password/reset-request/,POST,,수빈 임,시작 전,,시작 전
HTTP,Auth,로그아웃,/api/auth/logout/,POST,,수빈 임,시작 전,,시작 전
HTTP,Auth,로그인,/api/auth/login/,POST,,수빈 임,시작 전,,시작 전
HTTP,Auth,토큰 재발급,/api/auth/token/refresh/,POST,refresh 토큰으로 access 토큰 재발급,수빈 임,시작 전,,시작 전
HTTP,Auth,온보딩 설문 저장,/api/auth/survey/,POST,,수빈 임,시작 전,,시작 전
HTTP,Users,내 프로필 조회,/api/users/me/,GET,,수빈 임,시작 전,,시작 전
HTTP,Users,프로필 수정,/api/users/me/,PATCH,,수빈 임,시작 전,,시작 전
HTTP,Users,비밀번호 변경,/api/users/me/password/,PUT,,수빈 임,시작 전,,시작 전
HTTP,Users,회원 탈퇴,/api/users/me/,DELETE,,수빈 임,시작 전,,시작 전
HTTP,Users,환경설정 조회,/api/users/me/settings/,GET,,수빈 임,시작 전,,시작 전
HTTP,Users,환경설정 수정,/api/users/me/settings/,PATCH,,수빈 임,시작 전,,시작 전
HTTP,Session,학습 영상 목록 조회,/api/sessions/,GET,로그인 사용자의 학습 영상 목록 조회,수빈 임,시작 전,,시작 전
HTTP,Session,새 세션 생성 (영상 업로드/URL 입력),/api/sessions/,POST,영상 URL 입력 또는 파일 업로드로 새 학습 세션 생성,수빈 임,시작 전,,시작 전
HTTP,Session,세션 상세 조회,/api/sessions/{id}/,GET,특정 학습 세션 상세 조회,수빈 임,시작 전,,시작 전
HTTP,Session,세션 제목 수정,/api/sessions/{id}/,PATCH,,수빈 임,시작 전,,시작 전
HTTP,Session,세션 삭제,/api/sessions/{id}/,DELETE,학습 세션 및 관련 데이터 삭제,수빈 임,시작 전,,시작 전
HTTP,Session,AI 처리 상태 폴링,/api/sessions/{id}/status/,GET,AI 처리 상태 조회 (폴링용),수빈 임,시작 전,,시작 전
HTTP,Session,AI 파이프라인 실행 (프록시),/api/sessions/{id}/process/,POST,AI 파이프라인 실행 요청 및 결과 DB 저장 (Celery 내부 호출),수빈 임,시작 전,,시작 전
HTTP,Game," 게임 시작",/api/sessions/{id}/game/start/,POST,게임 시작 및 전체 학습 데이터 반환,수빈 임,시작 전,,시작 전
HTTP,Game,게임 종료,/api/sessions/{id}/game/end/,POST,,수빈 임,시작 전,,시작 전
HTTP,Quiz,퀴즈 답안 제출,/api/sessions/{id}/quiz/{qid}/answer/,POST,,수빈 임,시작 전,,시작 전
HTTP,Quiz,퀴즈 다시 풀기,/api/sessions/{id}/quiz/retry/,GET,,수빈 임,시작 전,,시작 전
HTTP,Analytic,세션 학습 결과 조회,/api/sessions/{id}/result/,GET,세션 학습 결과 조회 (결과 화면),수빈 임,시작 전,,시작 전
HTTP,Analytic,전체 학습 기록 조회,/api/users/me/history/,GET,전체 학습 기록 목록 조회 (마이페이지),수빈 임,시작 전,,시작 전
HTTP,Analytic,AI 정리본 조회,/api/sessions/{id}/summary/,GET,AI 구조화 요약 조회 (캐싱 적용),수빈 임,시작 전,,시작 전
